Date,Station,count,Lat,Long
2021-06-02 13:00:00,Charleville Mall,5,53.35694847,-6.245350215
2021-06-02 13:00:00,Grove Road Totem,128,53.3296435,-6.2701778
2021-06-02 13:00:00,North Strand Rd N/B,60,53.35853,-6.24134
2021-06-02 13:00:00,North Strand Rd S/B,63,53.35846619,-6.241417032
2021-06-02 14:00:00,Charleville Mall,10,53.35694847,-6.245350215
2021-06-02 14:00:00,Grove Road Totem,125,53.3296435,-6.2701778
2021-06-02 14:00:00,North Strand Rd N/B,52,53.35853,-6.24134
2021-06-02 14:00:00,North Strand Rd S/B,32,53.35846619,-6.241417032
2021-06-02 15:00:00,Charleville Mall,12,53.35694847,-6.245350215
2021-06-02 15:00:00,Grove Road Totem,118,53.3296435,-6.2701778
2021-06-02 15:00:00,North Strand Rd N/B,76,53.35853,-6.24134
2021-06-02 15:00:00,North Strand Rd S/B,42,53.35846619,-6.241417032
2021-06-02 16:00:00,Charleville Mall,23,53.35694847,-6.245350215
2021-06-02 16:00:00,Grove Road Totem,190,53.3296435,-6.2701778
2021-06-02 16:00:00,North Strand Rd N/B,134,53.35853,-6.24134
2021-06-02 16:00:00,North Strand Rd S/B,49,53.35846619,-6.241417032
2021-06-02 17:00:00,Charleville Mall,18,53.35694847,-6.245350215
2021-06-02 17:00:00,Grove Road Totem,318,53.3296435,-6.2701778
2021-06-02 17:00:00,North Strand Rd N/B,231,53.35853,-6.24134
2021-06-02 17:00:00,North Strand Rd S/B,67,53.35846619,-6.241417032
2021-06-02 18:00:00,Charleville Mall,22,53.35694847,-6.245350215
2021-06-02 18:00:00,Grove Road Totem,242,53.3296435,-6.2701778
2021-06-02 18:00:00,North Strand Rd N/B,164,53.35853,-6.24134
2021-06-02 18:00:00,North Strand Rd S/B,55,53.35846619,-6.241417032
2021-06-02 19:00:00,Charleville Mall,20,53.35694847,-6.245350215
2021-06-02 19:00:00,Grove Road Totem,190,53.3296435,-6.2701778
2021-06-02 19:00:00,North Strand Rd N/B,127,53.35853,-6.24134
2021-06-02 19:00:00,North Strand Rd S/B,50,53.35846619,-6.241417032
2021-06-02 20:00:00,Charleville Mall,11,53.35694847,-6.245350215
2021-06-02 20:00:00,Grove Road Totem,153,53.3296435,-6.2701778
2021-06-02 20:00:00,North Strand Rd N/B,48,53.35853,-6.24134
2021-06-02 20:00:00,North Strand Rd S/B,39,53.35846619,-6.241417032
2021-06-02 21:00:00,Charleville Mall,14,53.35694847,-6.245350215
2021-06-02 21:00:00,Grove Road Totem,97,53.3296435,-6.2701778
2021-06-02 21:00:00,North Strand Rd N/B,52,53.35853,-6.24134
2021-06-02 21:00:00,North Strand Rd S/B,33,53.35846619,-6.241417032
2021-06-02 22:00:00,Charleville Mall,11,53.35694847,-6.245350215
2021-06-02 22:00:00,Grove Road Totem,55,53.3296435,-6.2701778
2021-06-02 22:00:00,North Strand Rd N/B,28,53.35853,-6.24134
2021-06-02 22:00:00,North Strand Rd S/B,13,53.35846619,-6.241417032
2021-06-02 23:00:00,Charleville Mall,7,53.35694847,-6.245350215
2021-06-02 23:00:00,Grove Road Totem,29,53.3296435,-6.2701778
2021-06-02 23:00:00,North Strand Rd N/B,21,53.35853,-6.24134
2021-06-02 23:00:00,North Strand Rd S/B,9,53.35846619,-6.241417032
2021-06-03 00:00:00,Charleville Mall,2,53.35694847,-6.245350215
2021-06-03 00:00:00,Grove Road Totem,10,53.3296435,-6.2701778
2021-06-03 00:00:00,North Strand Rd N/B,13,53.35853,-6.24134
2021-06-03 00:00:00,North Strand Rd S/B,7,53.35846619,-6.241417032
2021-06-03 01:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-03 01:00:00,Grove Road Totem,5,53.3296435,-6.2701778
2021-06-03 01:00:00,North Strand Rd N/B,5,53.35853,-6.24134
2021-06-03 01:00:00,North Strand Rd S/B,1,53.35846619,-6.241417032
2021-06-03 02:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-03 02:00:00,Grove Road Totem,1,53.3296435,-6.2701778
2021-06-03 02:00:00,North Strand Rd N/B,1,53.35853,-6.24134
2021-06-03 02:00:00,North Strand Rd S/B,0,53.35846619,-6.241417032
2021-06-03 03:00:00,Charleville Mall,0,53.35694847,-6.245350215
2021-06-03 03:00:00,Grove Road Totem,5,53.3296435,-6.2701778
2021-06-03 03:00:00,North Strand Rd N/B,2,53.35853,-6.24134
2021-06-03 03:00:00,North Strand Rd S/B,2,53.35846619,-6.241417032
2021-06-03 04:00:00,Charleville Mall,1,53.35694847,-6.245350215
2021-06-03 04:00:00,Grove Road Totem,9,53.3296435,-6.2701778
2021-06-03 04:00:00,North Strand Rd N/B,1,53.35853,-6.24134
2021-06-03 04:00:00,North Strand Rd S/B,4,53.35846619,-6.241417032
2021-06-03 05:00:00,Charleville Mall,4,53.35694847,-6.245350215
2021-06-03 05:00:00,Grove Road Totem,27,53.3296435,-6.2701778
2021-06-03 05:00:00,North Strand Rd N/B,3,53.35853,-6.24134
2021-06-03 05:00:00,North Strand Rd S/B,14,53.35846619,-6.241417032
2021-06-03 06:00:00,Charleville Mall,9,53.35694847,-6.245350215
2021-06-03 06:00:00,Grove Road Totem,109,53.3296435,-6.2701778
